"id","ta_abbr","tech_area","cntr_abbr","country","priority"
3785,"p2","IHR Coordination, Communication and Advocacy","CMR","Cameroon","Formalize by regulation the appointment of the National Focal Point RSI taking into account for its composition of the different domains of the RSI (2005) (health, agriculture, breeding, trade industry, security and transport)."
3786,"p2","IHR Coordination, Communication and Advocacy","CMR","Cameroon","Train members of the National RSI Focal Point and other authorities involved in the implementation of the IHR (2005) in the performance of their duties."
3787,"p2","IHR Coordination, Communication and Advocacy","CMR","Cameroon","Develop standard operating procedures with the participation of all relevant sectors to facilitate the coordination, communication and promotion of the IHR (2005)."
3788,"p2","IHR Coordination, Communication and Advocacy","CMR","Cameroon","Set up a platform for exchange and communication between members of the National RSI Focal Point."
3789,"p3","Antimicrobial Resistance","CMR","Cameroon","Finalize, validate and disseminate the national plan for the detection and reporting of antimicrobial resistant pathogens by integrating the private sector."
3790,"p3","Antimicrobial Resistance","CMR","Cameroon","Develop, validate and disseminate a national plan for nosocomial infection control programs. Establish a multidisciplinary and multisectoral technical group to implement this plan using the One Health approach."
3791,"p3","Antimicrobial Resistance","CMR","Cameroon","Strengthen the laboratories&#39; technical platforms for the detection of antimicrobial resistance."
3792,"p4","Zoonotic Disease","CMR","Cameroon","Develop and implement national guidelines for monitoring emerging zoonoses using the One Health approach."
3793,"p4","Zoonotic Disease","CMR","Cameroon","Develop and disseminate procedures for collaboration and information-sharing between surveillance systems in animal, human and environmental health, including outside crisis episodes."
3794,"p4","Zoonotic Disease","CMR","Cameroon","Develop, validate and implement the various plans to fight against zoonoses (contingency, surveillance, eradication, management)."
3795,"p4","Zoonotic Disease","CMR","Cameroon","Integrate training in field epidemiology and the fight against zoonoses into training programs for human, animal and environmental health personnel."
3796,"p4","Zoonotic Disease","CMR","Cameroon","Conduct the inventory of domestic animals on the one hand to provide the OIE with the data required to evaluate the use of antibiotics, on the other hand to allow the appropriate allocation of human resources."
3797,"p5","Food Safety","CMR","Cameroon","Develop and disseminate Standard Operating Procedures (SOPs) for collaboration and information sharing among stakeholders involved in food safety pending establishment of a Food Safety Agency."
3798,"p5","Food Safety","CMR","Cameroon","Develop a multisectoral plan to detect and respond to events related to food safety."
3799,"p5","Food Safety","CMR","Cameroon","Finalize the process of adoption of the draft framework law on food safety."
3800,"p5","Food Safety","CMR","Cameroon","Strengthen the analytical capacity of national food quality control laboratories."
3801,"p6","Biosafety and Biosecurity","CMR","Cameroon","Finalize and adopt the national law on safety and biosecurity."
3802,"p6","Biosafety and Biosecurity","CMR","Cameroon","Develop and disseminate tools for documentation, notification, investigation and response to biological accidents / incidents and encourage structures that handle or store biological agents to develop, implement and evaluate their operational plans for safety and security biological safety."
3803,"p6","Biosafety and Biosecurity","CMR","Cameroon","Establish mechanisms for evaluating biological safety and security and procedures for officially classifying laboratories based on their biological containment capabilities."
3804,"p6","Biosafety and Biosecurity","CMR","Cameroon","Develop and implement a national training program on biological safety and security for laboratory personnel and all those handling biological agents."
3805,"p6","Biosafety and Biosecurity","CMR","Cameroon","Update the waste management plan by involving several sectors concerned."
3806,"p7","Immunization","CMR","Cameroon","Finalize, validate and implement at least 80% of the data quality improvement plan within three years."
3807,"p7","Immunization","CMR","Cameroon","Extend the supply of vaccines to zoonoses by systematically involving animal health authorities in the development of various vaccination plans (Comprehensive Multi-Year Plan, EPI Annual Work Plan, Maintenance Plan, Logistics Plan, etc.)."
